stride,offset,query_index,sequence_id,sample_id,appearances
1,0,594,seq0002,seq0002_g000194,8
1,0,595,seq0002,seq0002_g000195,8
1,0,596,seq0002,seq0002_g000196,8
1,0,597,seq0002,seq0002_g000197,8
1,0,598,seq0002,seq0002_g000198,8
1,0,599,seq0002,seq0002_g000199,8
1,0,600,seq0002,seq0002_g000200,8
1,0,601,seq0002,seq0002_g000201,8
1,0,602,seq0002,seq0002_g000202,8
1,0,603,seq0002,seq0002_g000203,8
1,0,604,seq0002,seq0002_g000204,8
1,0,605,seq0002,seq0002_g000205,8
1,0,606,seq0002,seq0002_g000206,8
1,0,607,seq0002,seq0002_g000207,8
1,0,608,seq0002,seq0002_g000208,8
1,0,609,seq0002,seq0002_g000209,8
1,0,610,seq0002,seq0002_g000210,8
1,0,611,seq0002,seq0002_g000211,8
1,0,612,seq0002,seq0002_g000212,8
1,0,613,seq0002,seq0002_g000213,8
1,0,614,seq0002,seq0002_g000214,8
1,0,615,seq0002,seq0002_g000215,8
1,0,616,seq0002,seq0002_g000216,8
1,0,617,seq0002,seq0002_g000217,8
1,0,618,seq0002,seq0002_g000218,8
1,0,619,seq0002,seq0002_g000219,8
1,0,620,seq0002,seq0002_g000220,8
1,0,621,seq0002,seq0002_g000221,8
1,0,622,seq0002,seq0002_g000222,8
1,0,623,seq0002,seq0002_g000223,8
1,0,624,seq0002,seq0002_g000224,8
1,0,625,seq0002,seq0002_g000225,8
1,0,626,seq0002,seq0002_g000226,8
1,0,627,seq0002,seq0002_g000227,8
1,0,628,seq0002,seq0002_g000228,8
1,0,629,seq0002,seq0002_g000229,8
